,source,target,weight
0,92,673,1
1,92,257,3
2,92,649,1
3,92,436,1
4,92,1510,1
5,1490,1240,1
6,231,419,6
7,1158,1740,1
8,1158,477,1
9,1158,351,1
10,1158,177,1
11,1158,1837,1
12,1158,1227,1
13,1158,907,1
14,1158,1849,1
15,1158,521,1
16,1158,679,1
17,1158,621,1
18,1158,1867,1
19,1158,1663,1
20,1158,145,1
21,1158,373,1
22,1158,104,1
23,1158,1004,1
24,1158,52,1
25,1158,1269,1
26,1158,1816,1
27,1672,1273,1
28,1307,1546,1
29,1745,1581,1
30,188,1708,1
31,1827,1624,1
32,1827,97,3
33,1827,918,31
34,1827,389,1
35,1827,1459,5
36,1827,380,2
37,1827,637,2
38,1827,1162,40
39,1827,1640,1
40,1827,1546,4
41,1827,1708,7
42,1827,37,1
43,1827,323,2
44,1827,1468,12
45,1827,1409,4
46,1827,1861,7
47,1827,500,1
48,1827,190,4
49,1827,783,1
50,1827,1838,2
51,1827,475,2
52,1827,799,2
53,1827,1766,23
54,1827,1557,1
55,1827,389,1
56,1827,19,1
57,1827,1703,22
58,1827,1643,1
59,1827,20,1
60,1827,1742,52
61,1827,113,1
62,1827,1224,4
63,1827,1182,1
64,1827,203,2
65,263,1742,10
66,1858,1108,2
67,1858,1057,5
68,985,1576,1
69,1442,1742,1
70,1578,1742,1
71,1730,1191,1
72,86,1463,1
73,86,1108,3
74,86,374,1
75,86,1276,3
76,86,1057,17
77,86,669,1
78,86,1855,3
79,86,1861,1
80,86,1331,2
81,86,1195,2
82,86,1761,1
83,854,380,1
84,356,676,1
85,356,1546,4
86,356,1708,1
87,356,475,2
88,483,228,5
89,483,54,5
90,1380,951,1
91,1380,996,1
92,1413,1072,1
93,1413,419,2
94,1384,1162,2
95,1384,1742,13
96,378,1546,1
97,557,1546,1
98,332,1840,1
99,332,1641,5
100,332,1072,2
101,332,822,3
102,332,304,5
103,332,735,2
104,332,1433,7
105,332,649,1
106,332,1103,3
107,332,419,32
108,332,1423,1
109,332,1850,5
110,332,799,1
111,332,442,4
112,332,1181,2
113,332,535,1
114,332,1208,1
115,1635,257,2
116,1635,1510,2
117,1228,379,22
118,1228,824,22
119,1228,1469,22
120,1228,227,22
121,1228,1071,22
122,1228,531,22
123,1228,419,66
124,1228,1191,5
125,1228,987,22
126,1228,331,22
127,1228,660,49
128,1488,1546,1
129,1624,918,6
130,1624,143,1
131,1624,1459,1
132,1624,1374,2
133,1624,1162,10
134,1624,1540,4
135,1624,497,1
136,1624,1796,2
137,1624,323,1
138,1624,1629,3
139,1624,1468,9
140,1624,1506,2
141,1624,1157,1
142,1624,190,4
143,1624,664,1
144,1624,1742,18
145,1624,1627,1
146,1624,1224,2
147,1027,419,2
148,1457,257,2
149,288,1162,2
150,288,1561,2
151,288,1742,6
152,1715,1546,4
153,1715,419,2
154,1503,1581,2
155,1001,1191,2
156,1284,912,1
157,765,384,2
158,603,228,1
159,1668,822,7
160,1534,1072,5
161,1534,1816,1
162,1641,918,2
163,1641,678,1
164,1641,1162,5
165,1641,497,1
166,1641,1255,11
167,1641,822,1
168,1641,304,6
169,1641,1469,2
170,1641,1796,1
171,1641,1388,1
172,1641,323,3
173,1641,1034,1
174,1641,649,3
175,1641,190,4
176,1641,783,3
177,1641,419,9
178,1641,1850,5
179,1641,1890,2
180,1641,408,2
181,1641,381,2
182,1641,144,3
183,1641,1742,36
184,1641,734,17
185,1641,79,3
186,1641,1182,2
187,1641,319,1
188,1754,1273,4
189,882,1742,1
190,676,356,1
191,676,471,1
192,676,587,2
193,676,354,1
194,676,1546,75
195,676,1138,1
196,676,1191,6
197,676,527,1
198,676,790,3
199,676,1854,1
200,676,667,2
201,676,1691,1
202,676,1181,2
203,676,660,1
204,640,1576,1
205,307,1072,1
206,1599,419,1
207,379,1546,3
208,1697,822,1
209,1233,228,1
210,1233,1546,2
211,1583,270,1
212,1583,1191,1
213,721,1540,1
214,721,1518,1
215,721,577,1
216,1771,1546,1
217,455,1742,2
218,5,1072,22
219,279,279,28
220,279,1742,1
221,1077,257,18
222,1698,1072,1
223,1039,261,1
224,1039,1191,1
225,1020,1072,1
226,902,1546,2
227,93,1581,6
228,875,1546,1
229,929,1827,2
230,929,1624,2
231,929,97,2
232,929,918,4
233,929,1662,4
234,929,1746,2
235,929,389,2
236,929,762,2
237,929,417,2
238,929,637,2
239,929,1162,2
240,929,822,5
241,929,146,2
242,929,1786,2
243,929,752,2
244,929,1546,2
245,929,1708,2
246,929,831,2
247,929,1321,2
248,929,795,2
249,929,1034,2
250,929,1468,2
251,929,429,2
252,929,797,2
253,929,1397,2
254,929,423,2
255,929,431,3
256,929,1850,2
257,929,1547,2
258,929,990,2
259,929,389,2
260,929,517,4
261,929,381,1
262,929,1146,2
263,929,515,2
264,929,1742,2
265,929,113,2
266,929,533,4
267,929,1182,2
268,929,1410,2
269,929,1869,2
270,440,228,1
271,466,1546,1
272,918,1827,53
273,918,1858,2
274,918,1624,9
275,918,1064,3
276,918,61,1
277,918,1641,2
278,918,929,3
279,918,678,1
280,918,246,1
281,918,1662,5
282,918,1746,2
283,918,1808,1
284,918,380,15
285,918,1463,1
286,918,1343,1
287,918,637,7
288,918,1162,137
289,918,1025,1
290,918,544,28
291,918,759,1
292,918,1108,7
293,918,1469,12
294,918,374,1
295,918,1519,1
296,918,1518,1
297,918,742,1
298,918,1677,1
299,918,1388,13
300,918,752,6
301,918,498,17
302,918,1173,16
303,918,1546,2
304,918,1708,5
305,918,1723,1
306,918,1205,3
307,918,1874,2
308,918,1468,19
309,918,156,2
310,918,1057,92
311,918,1105,3
312,918,239,2
313,918,84,2
314,918,1409,16
315,918,1713,2
316,918,669,2
317,918,1855,1
318,918,1861,69
319,918,730,1
320,918,1265,5
321,918,1397,2
322,918,423,2
323,918,1613,1
324,918,783,15
325,918,1838,30
326,918,1211,10
327,918,1814,2
328,918,475,13
329,918,431,2
330,918,784,3
331,918,45,7
332,918,1850,5
333,918,1766,60
334,918,1331,23
335,918,1770,1
336,918,398,8
337,918,774,3
338,918,1550,2
339,918,445,2
340,918,794,1
341,918,990,2
342,918,830,2
343,918,11,1
344,918,583,3
345,918,19,24
346,918,1703,8
347,918,140,1
348,918,381,3
349,918,1643,2
350,918,144,2
351,918,1357,1
352,918,1742,187
353,918,32,6
354,918,1224,4
355,918,1355,2
356,918,165,2
357,918,269,1
358,918,22,2
359,918,1182,33
360,918,203,18
361,918,996,5
362,918,1761,14
363,918,1653,1
364,586,1331,4
365,586,1742,1
366,238,228,5
367,238,822,1
368,248,1273,1
369,1045,1581,2
370,1458,419,6
371,53,1162,3
372,53,1742,9
373,1019,1072,2
374,1019,1816,3
375,532,257,1
376,1781,1744,2
377,1781,1191,5
378,859,1191,1
379,1507,1507,25
380,678,1641,1
381,678,1742,2
382,1014,822,1
