,source,target,weight
0,1,2,3
1,1,3,4
2,1,4,3
3,1,5,3
4,1,6,4
5,1,7,5
6,1,8,4
7,1,9,4
8,2,1,4
9,2,4,4
10,2,5,4
11,2,7,3
12,2,8,3
13,2,9,3
14,2,10,3
15,2,13,3
16,2,43,3
17,2,44,3
18,2,45,3
19,2,46,3
20,2,47,3
21,2,48,4
22,2,49,3
23,2,50,3
24,2,51,3
25,2,52,3
26,2,53,5
27,2,54,3
28,3,1,5
29,3,4,3
30,3,6,3
31,3,7,3
32,3,8,3
33,3,9,3
34,3,10,3
35,3,14,3
36,3,17,3
37,3,22,3
38,3,27,3
39,3,43,3
40,3,45,4
41,3,57,3
42,3,59,3
43,3,97,3
44,3,105,3
45,3,113,3
46,3,127,3
47,3,128,4
48,3,129,3
49,4,1,4
50,4,2,5
51,4,3,3
52,4,5,3
53,4,10,3
54,4,11,3
55,4,29,4
56,4,43,3
57,4,44,3
58,4,45,3
59,4,48,5
60,4,56,3
61,4,105,3
62,4,108,4
63,4,132,4
64,4,133,3
65,5,1,5
66,5,2,3
67,5,3,3
68,5,4,4
69,5,10,3
70,5,12,3
71,5,13,3
72,5,14,3
73,5,29,3
74,5,43,4
75,5,44,5
76,5,49,3
77,5,51,3
78,5,98,3
79,5,105,3
80,5,109,3
81,5,157,4
82,6,1,3
83,6,2,2
84,6,9,5
85,6,49,4
86,6,71,2
87,6,98,2
88,6,113,2
89,6,117,4
90,7,1,4
91,7,8,4
92,7,14,3
93,7,107,3
94,7,113,3
95,7,123,3
96,7,140,3
97,8,1,4
98,8,7,4
99,8,17,4
100,8,28,4
101,8,42,4
102,8,43,3
103,8,107,4
104,9,1,4
105,9,2,3
106,9,3,3
107,9,6,5
108,9,49,3
109,9,117,3
110,10,2,3
111,10,3,5
112,10,11,5
113,10,12,4
114,10,13,5
115,10,14,3
116,10,15,4
117,10,16,3
118,10,17,5
119,10,18,3
120,10,19,4
121,10,20,3
122,10,21,4
123,10,22,3
124,10,23,3
125,10,24,5
126,11,2,3
127,11,4,3
128,11,10,4
129,11,16,3
130,11,23,3
131,11,52,4
132,11,69,3
133,11,87,3
134,11,88,4
135,11,89,3
136,12,10,5
137,12,13,3
138,12,23,4
139,12,108,3
140,12,109,4
141,12,110,3
142,12,111,3
143,12,112,3
144,13,2,4
145,13,3,3
146,13,5,4
147,13,10,5
148,13,12,3
149,13,22,3
150,13,23,3
151,13,24,3
152,13,26,3
153,13,36,3
154,13,43,3
155,13,44,3
156,13,45,3
157,13,52,3
158,13,53,3
159,13,100,3
160,13,108,3
161,13,128,3
162,13,130,3
163,13,131,3
164,14,2,3
165,14,3,3
166,14,5,3
167,14,7,3
168,14,8,3
169,14,22,3
170,14,27,3
171,14,44,3
172,14,59,4
173,14,60,3
174,14,63,3
175,14,105,3
176,14,106,3
177,14,140,3
178,15,10,4
179,15,18,3
180,15,68,3
181,15,87,3
182,15,142,4
183,15,150,3
184,15,160,3
185,16,21,3
186,16,32,3
187,16,69,3
188,16,89,5
189,16,100,3
190,16,101,4
191,16,102,4
192,17,1,3
193,17,8,3
194,17,10,3
195,17,18,4
196,17,20,4
197,17,24,3
198,17,31,3
199,17,35,3
200,17,44,3
201,17,50,3
202,17,51,3
203,17,54,3
204,17,59,3
205,17,107,4
206,17,127,3
207,17,147,3
208,17,148,3
209,17,160,4
210,17,189,3
211,17,198,3
212,17,201,3
213,17,202,3
214,18,15,3
215,18,17,4
216,18,20,4
217,18,45,3
218,18,160,5
219,19,2,4
220,19,10,4
221,19,18,3
222,19,21,3
