# source, target, weight, layer
0,1,1,1
0,2,1,1
1,10,1,5
1,11,1,5
1,17,1,5
1,20,1,5
1,36,1,5
1,39,1,5
1,40,1,5
1,4,1,5
1,50,1,5
1,6,1,5
1,7,1,5
2,20,1,1
2,43,1,1
2,50,1,1
2,56,1,1
2,6,1,1
2,10,1,5
2,20,1,5
2,43,1,5
2,45,1,5
2,50,1,5
2,56,1,5
2,5,1,5
2,6,1,5
2,8,1,5
3,9,1,1
3,10,1,1
3,13,1,1
3,14,1,1
3,15,1,1
3,17,1,1
3,5,1,1
3,11,1,2
3,12,1,2
3,16,1,2
3,4,1,2
3,6,1,2
3,7,1,2
3,8,1,2
3,5,1,3
3,13,1,4
3,5,1,4
3,10,1,5
3,13,1,5
3,5,1,5
3,6,1,5
4,11,1,1
4,12,1,1
4,19,1,1
4,11,1,2
4,12,1,2
4,18,1,2
4,20,1,2
4,12,1,4
4,19,1,4
4,22,1,4
4,11,1,5
4,12,1,5
4,19,1,5
4,20,1,5
4,21,1,5
5,9,1,1
5,10,1,1
5,13,1,1
5,14,1,1
5,15,1,1
5,13,1,3
5,13,1,4
5,10,1,5
5,13,1,5
5,17,1,5
5,20,1,5
5,34,1,5
5,50,1,5
5,6,1,5
6,20,1,1
6,33,1,1
6,43,1,1
6,50,1,1
6,56,1,1
6,12,1,2
6,14,1,2
6,15,1,2
6,20,1,2
6,22,1,2
6,25,1,2
6,29,1,2
6,38,1,2
6,43,1,2
6,50,1,2
6,9,1,5
6,10,1,5
6,14,1,5
6,15,1,5
6,17,1,5
6,18,1,5
6,19,1,5
6,20,1,5
6,25,1,5
6,27,1,5
6,28,1,5
6,29,1,5
6,30,1,5
6,31,1,5
6,32,1,5
6,33,1,5
6,34,1,5
6,35,1,5
6,38,1,5
6,43,1,5
6,45,1,5
6,50,1,5
6,56,1,5
7,11,1,1
7,12,1,1
7,36,1,1
7,39,1,1
7,40,1,1
7,41,1,1
7,44,1,1
7,11,1,2
7,12,1,2
7,20,1,2
7,33,1,2
7,36,1,2
7,36,1,3
7,10,1,4
7,36,1,4
7,39,1,4
7,41,1,4
7,44,1,4
7,10,1,5
7,12,1,5
7,18,1,5
7,20,1,5
7,25,1,5
