# index, name, nodeLabel, _pos
0,U102,U102,"array([10.39570398,  6.89622913])"
1,U139,U139,"array([10.5724608 ,  7.06530634])"
2,U33,U33,"array([10.43664393,  7.21453692])"
3,U106,U106,"array([10.42967156,  7.1402087 ])"
4,U107,U107,"array([10.63466107,  7.13199814])"
5,U118,U118,"array([10.36327241,  7.16290561])"
6,U123,U123,"array([10.55688277,  7.27661585])"
7,U1,U1,"array([10.68198297,  7.16999296])"
8,U21,U21,"array([10.38156377,  7.41512616])"
9,U22,U22,"array([10.44230156,  7.01447835])"
10,U26,U26,"array([10.4973012 ,  7.10278881])"
11,U29,U29,"array([10.57108674,  7.13569973])"
12,U32,U32,"array([10.60979272,  7.20527944])"
13,U41,U41,"array([10.31369698,  7.04520634])"
14,U42,U42,"array([10.49735494,  7.16494462])"
15,U49,U49,"array([10.3989861 ,  7.06796992])"
16,U59,U59,"array([10.31232442,  7.35075057])"
17,U97,U97,"array([10.47972977,  7.29565216])"
18,U124,U124,"array([10.60282426,  7.38409643])"
19,U17,U17,"array([10.66239047,  7.05501977])"
20,U71,U71,"array([10.53049826,  7.22310222])"
21,U86,U86,"array([10.88286281,  7.19999361])"
22,U91,U91,"array([10.41582328,  7.32855135])"
23,U109,U109,"array([10.71182578,  7.39505274])"
24,U126,U126,"array([10.467169  ,  7.40704797])"
25,U130,U130,"array([10.66563958,  7.33960781])"
26,U134,U134,"array([10.72636711,  7.52199538])"
27,U18,U18,"array([10.77296193,  7.36976266])"
28,U3,U3,"array([10.6668303 ,  7.49374891])"
29,U47,U47,"array([10.72138267,  7.32330614])"
30,U54,U54,"array([10.65301671,  7.40689091])"
31,U62,U62,"array([10.8174453 ,  7.43213226])"
32,U76,U76,"array([10.69528966,  7.45173395])"
33,U79,U79,"array([10.60248216,  7.32684296])"
34,U90,U90,"array([10.59911901,  7.45859253])"
35,U99,U99,"array([10.7586543,  7.4350521])"
36,U10,U10,"array([10.67988713,  7.25766379])"
37,U13,U13,"array([10.65293333,  7.57770867])"
38,U142,U142,"array([10.53765065,  7.38007924])"
39,U14,U14,"array([10.72001342,  7.08496538])"
40,U19,U19,"array([10.778969  ,  7.18294577])"
41,U23,U23,"array([10.80233278,  7.04933801])"
42,U37,U37,"array([10.49987909,  7.50903251])"
43,U4,U4,"array([10.5463065 ,  7.43879182])"
44,U73,U73,"array([10.77307258,  7.12426449])"
45,U110,U110,"array([10.37604684,  7.30676106])"
46,U113,U113,"array([10.28877278,  7.29396852])"
47,U138,U138,"array([10.22154026,  7.28972525])"
48,U53,U53,"array([10.23432034,  7.43757117])"
49,U65,U65,"array([10.32447908,  7.43156782])"
50,U67,U67,"array([10.43957196,  7.35651099])"
51,U72,U72,"array([10.25692231,  7.37523396])"
52,U112,U112,"array([10.43879869,  7.62218494])"
53,U48,U48,"array([10.57405285,  7.65556878])"
54,U68,U68,"array([10.52068986,  7.60169849])"
55,U69,U69,"array([10.37609332,  7.4984357 ])"
56,U63,U63,"array([10.40306563,  7.25387087])"
57,U6,U6,"array([10.44545536,  7.48226814])"
58,U92,U92,"array([10.66047935,  7.68562315])"
59,U140,U140,"array([10.55484394,  6.89750713])"
60,U141,U141,"array([10.51082214,  7.71513378])"
