# source, target, weight
0,1,5
0,2,31
2,82,6
2,58,34
2,76,12
2,77,36
2,1,43
2,81,6
2,9,10
2,89,5
3,4,18
3,5,6
3,6,5
3,7,8
4,26,6
4,29,4
4,37,88
4,43,5
4,52,4
4,19,6
4,20,15
4,27,16
4,54,11
4,78,11
4,79,7
4,5,17
4,51,5
4,80,8
4,6,31
5,0,4
5,29,5
5,79,4
5,51,5
5,25,4
6,26,4
6,38,31
6,103,5
6,105,5
6,52,5
6,99,4
6,19,22
6,53,5
6,81,5
6,83,11
6,27,6
6,100,9
6,84,7
6,54,5
6,11,25
6,47,12
6,39,28
6,55,11
6,79,6
6,5,9
6,24,4
6,56,21
6,51,6
6,57,18
7,26,5
7,16,4
7,17,16
7,19,7
7,4,13
7,20,13
7,83,14
7,100,5
7,11,6
7,47,4
7,39,5
7,55,5
7,5,11
7,51,15
7,80,4
7,6,39
7,92,4
7,57,6
7,41,4
8,9,5
9,58,11
9,86,8
9,77,7
9,89,10
9,90,9
9,91,7
9,92,8
9,93,12
10,11,5
11,99,6
11,100,6
12,13,11
12,14,23
12,15,9
12,16,6
12,17,5
12,18,43
12,19,7
12,4,11
12,20,6
12,21,7
12,22,8
12,5,4
12,23,5
12,24,46
12,25,18
12,6,5
14,13,4
14,18,4
14,25,21
15,31,96
15,32,46
15,21,12
15,33,4
15,34,54
15,35,14
15,22,35
15,2,11
15,36,11
16,40,4
16,41,5
17,37,5
17,38,4
17,52,4
17,19,6
17,53,7
17,4,36
17,20,23
17,54,10
17,55,4
17,5,16
17,24,6
17,56,4
17,6,46
17,57,4
18,25,7
19,52,9
19,53,7
19,54,7
19,11,24
19,24,12
20,19,5
20,53,4
20,83,8
20,27,7
20,84,28
20,54,5
20,85,5
20,11,4
20,24,14
20,51,10
20,80,9
20,6,54
21,0,30
21,8,15
21,58,7
21,86,6
21,76,4
21,77,9
21,1,25
21,81,8
21,9,69
21,34,4
21,87,7
21,88,6
21,89,31
21,90,20
21,5,5
21,2,52
21,51,9
21,91,16
21,36,8
21,92,12
21,93,54
22,36,8
23,37,4
24,14,15
24,18,5
24,53,4
24,54,4
24,5,6
24,25,10
26,27,4
27,84,9
27,96,5
28,29,18
28,30,10
31,32,35
31,34,41
32,34,33
32,2,11
33,35,4
34,2,7
37,27,7
38,19,5
38,39,19
39,84,4
40,49,4
41,40,12
41,47,6
41,49,6
42,15,4
42,37,7
42,16,8
42,17,4
42,43,16
42,44,9
42,4,19
42,45,10
42,46,8
42,47,5
42,48,43
42,23,4
42,49,6
42,50,8
42,51,4
42,6,5
42,41,19
43,16,7
43,40,4
43,49,16
43,41,9
44,43,9
46,17,4
46,44,6
46,97,10
46,47,29
46,98,9
46,6,5
46,7,4
48,12,15
48,26,6
48,15,23
48,37,6
48,16,17
48,43,32
48,31,5
48,4,15
48,45,18
48,20,10
48,21,14
48,40,10
48,47,5
48,102,4
48,101,7
48,22,15
48,23,4
48,50,15
48,51,4
48,36,11
48,6,12
48,7,12
48,41,26
50,12,22
50,15,10
50,37,5
50,17,16
50,4,10
50,20,35
50,21,4
50,83,5
50,27,14
50,46,28
50,84,36
50,97,9
50,85,4
50,96,7
50,47,28
50,39,8
50,79,4
50,22,7
50,5,5
50,98,6
50,24,6
50,56,8
50,6,77
51,0,4
51,26,4
51,72,32
51,87,20
51,79,15
51,2,13
54,53,5
56,103,4
56,57,8
57,55,4
58,59,6
60,61,4
60,62,5
62,61,7
63,64,8
63,29,20
63,28,26
63,60,14
63,61,18
63,62,17
63,65,47
63,66,10
63,67,26
63,68,7
63,69,12
63,5,5
63,70,8
63,71,14
65,29,11
65,28,13
65,60,7
65,61,6
67,62,4
69,29,5
69,52,7
69,65,5
69,5,6
70,69,7
70,6,4
72,73,4
72,74,16
75,12,18
75,14,8
75,15,15
75,42,5
75,17,6
75,4,6
75,21,8
75,22,8
75,48,13
75,5,10
75,24,5
75,50,6
76,1,8
77,58,17
79,27,8
79,84,7
79,57,4
80,84,5
81,8,9
81,82,5
81,9,4
83,95,7
83,57,5
85,80,5
85,6,4
87,72,30
87,2,5
90,89,6
92,86,7
93,89,7
93,90,9
94,46,5
94,5,6
98,97,4
101,16,4
104,72,5
106,4,10
