# index, name, _pos
0,Aemon,"array([-6.26710367, -3.98543356])"
1,Grenn,"array([-6.16876976, -4.25622392])"
2,Samwell,"array([-6.20040749, -4.16643914])"
3,Aerys,"array([-6.22351778, -3.5141172 ])"
4,Jaime,"array([-6.08939813, -3.6398448 ])"
5,Robert,"array([-6.21967843, -3.60883715])"
6,Tyrion,"array([-5.98073015, -3.52106412])"
7,Tywin,"array([-5.94482859, -3.63516638])"
8,Alliser,"array([-6.37945178, -4.08247342])"
9,Mance,"array([-6.38327169, -4.17900679])"
10,Amory,"array([-5.51877026, -3.18305583])"
11,Oberyn,"array([-5.77443075, -3.35821254])"
12,Arya,"array([-6.10923894, -3.77265218])"
13,Anguy,"array([-6.45187962, -3.81262982])"
14,Beric,"array([-6.29822476, -3.77630203])"
15,Bran,"array([-5.95775776, -4.07499973])"
16,Brynden,"array([-5.81308586, -3.92036819])"
17,Cersei,"array([-6.03713159, -3.57029692])"
18,Gendry,"array([-6.3907404 , -3.71849946])"
19,Gregor,"array([-6.05130732, -3.47965097])"
20,Joffrey,"array([-5.95051171, -3.58176918])"
21,Jon,"array([-6.22827415, -4.08154944])"
22,Rickon,"array([-6.02382194, -3.94998485])"
23,Roose,"array([-5.91424237, -3.98041596])"
24,Sandor,"array([-6.16113915, -3.65683415])"
25,Thoros,"array([-6.33246358, -3.65223835])"
26,Balon,"array([-6.01419659, -3.74780572])"
27,Loras,"array([-5.84603868, -3.65710359])"
28,Belwas,"array([-6.42637336, -3.05525192])"
29,Barristan,"array([-6.35689143, -3.329705  ])"
30,Illyrio,"array([-6.35979514, -2.79294194])"
31,Hodor,"array([-5.87708099, -4.19956661])"
32,Jojen,"array([-5.97084038, -4.32422625])"
33,Luwin,"array([-5.72734922, -4.32304765])"
34,Meera,"array([-6.03645375, -4.23762251])"
35,Nan,"array([-5.82483483, -4.39284692])"
36,Theon,"array([-6.05146391, -4.09841466])"
37,Brienne,"array([-5.94628219, -3.80063372])"
38,Bronn,"array([-5.91362479, -3.3035302 ])"
