# index, _pos
0,"array([ 0.92308158, 12.18608286])"
1,"array([ 1.26290644, 12.21321324])"
2,"array([ 1.10827447, 12.19021191])"
3,"array([ 0.96639457, 12.31484945])"
4,"array([ 1.08272966, 12.3552479 ])"
5,"array([ 0.49440889, 12.34048523])"
6,"array([ 0.55913881, 12.44231357])"
7,"array([ 1.09356693, 12.04926701])"
8,"array([ 0.8546716 , 12.38096706])"
9,"array([ 0.97139705, 11.92454811])"
10,"array([ 0.88769205, 13.20273673])"
11,"array([ 0.59251926, 13.02297823])"
12,"array([ 0.56311078, 13.13906771])"
13,"array([ 0.7834736, 13.2991203])"
14,"array([ 0.88873927, 12.99283256])"
15,"array([ 0.6917791 , 13.00734999])"
16,"array([ 1.05598169, 13.05704236])"
17,"array([ 1.34171864, 12.62223863])"
18,"array([ 1.25674861, 12.53215326])"
19,"array([ 1.3297126, 12.3566044])"
20,"array([ 1.11320454, 12.50659413])"
21,"array([ 1.01761829, 12.78375015])"
22,"array([ 1.45026967, 12.44376729])"
23,"array([ 1.43176449, 12.22786873])"
24,"array([ 0.99870068, 12.42872305])"
25,"array([ 1.06780227, 12.60660638])"
26,"array([ 0.66693739, 12.32812556])"
27,"array([ 0.27679319, 12.44376792])"
28,"array([ 0.62147631, 13.44258052])"
29,"array([ 0.85422895, 13.07561365])"
30,"array([ 0.75804941, 12.91545003])"
31,"array([ 0.22628448, 12.95001753])"
32,"array([ 0.38104719, 12.7604648 ])"
33,"array([ 0.3246277 , 12.65790859])"
34,"array([ 0.70368258, 13.12069194])"
35,"array([ 0.20433317, 12.69924207])"
36,"array([ 0.31253975, 12.8501766 ])"
37,"array([ 0.62177937, 13.28194117])"
38,"array([ 0.89109845, 12.51365413])"
39,"array([ 0.20034421, 12.79657925])"
40,"array([ 0.37895501, 13.22415389])"
41,"array([-0.06381899, 12.59239943])"
42,"array([ 0.18008865, 12.37181338])"
43,"array([6.94683754e-03, 1.27053504e+01])"
44,"array([ 0.12299752, 12.28520894])"
45,"array([ 0.12474582, 12.46647073])"
46,"array([ 0.77414621, 12.04232682])"
47,"array([ 0.5805227 , 12.89481868])"
48,"array([ 0.31862826, 13.07160797])"
49,"array([ 0.70350502, 12.7814775 ])"
50,"array([ 0.82812844, 12.68040711])"
51,"array([ 0.43158761, 13.07649486])"
52,"array([ 0.88929683, 12.88317222])"
53,"array([ 0.72432835, 12.59788612])"
54,"array([ 0.34299367, 13.379816  ])"
55,"array([ 0.4522567 , 12.67972871])"
56,"array([ 0.21941313, 13.22170237])"
57,"array([ 0.68050103, 12.47437485])"
58,"array([ 0.49805788, 12.56918279])"
59,"array([-0.09094028, 13.05861839])"
60,"array([ 0.09994685, 12.85810802])"
61,"array([ 0.46641212, 12.24002947])"
62,"array([ 0.38970805, 12.4866487 ])"
63,"array([ 0.31727104, 12.21369395])"
64,"array([ 0.10434625, 12.57897904])"
65,"array([-0.09429436, 12.3177952 ])"
66,"array([-0.01269801, 12.42202915])"
67,"array([ 0.0140674 , 12.29339403])"
68,"array([-0.35201745, 12.68108981])"
69,"array([-0.18090084, 12.67902434])"
