# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
1,3
1,5
1,6
1,119
1,10
1,11
1,12
1,13
1,14
1,120
1,121
1,122
1,18
1,19
1,66
1,123
1,20
1,22
1,23
1,124
2,3
2,4
2,158
2,5
2,146
2,6
2,7
2,8
2,129
2,9
2,147
2,12
2,13
2,15
2,16
2,148
2,149
2,17
2,19
2,66
2,20
2,22
2,23
2,124
2,159
3,166
3,167
3,5
3,168
3,6
3,151
3,169
3,170
3,171
3,172
3,176
3,7
3,8
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,148
3,163
3,149
3,17
3,173
3,120
3,100
3,164
3,18
3,19
3,132
3,20
3,177
3,22
3,111
3,23
3,136
3,178
4,5
4,152
4,9
4,16
4,163
4,164
4,66
4,21
4,159
4,154
5,152
5,6
5,9
5,10
5,11
5,12
5,13
5,14
5,16
5,163
5,164
5,18
5,19
5,20
5,21
5,22
5,23
5,154
6,86
6,151
6,169
6,170
6,171
6,172
6,176
6,88
6,89
6,91
6,8
6,129
6,9
6,92
6,153
6,119
6,147
6,94
6,95
6,10
6,11
6,12
6,13
6,14
6,148
6,163
6,149
6,17
6,173
6,120
6,96
6,97
6,99
6,121
6,122
6,100
6,164
6,101
6,102
6,103
6,104
6,18
6,19
6,132
6,66
6,105
6,123
6,106
6,27
6,107
6,20
6,108
6,109
6,110
6,177
6,22
6,23
6,124
6,136
6,154
6,178
6,115
6,116
6,117
6,73
6,118
6,74
6,75
7,8
7,93
7,15
7,16
7,17
7,97
7,99
7,27
7,20
7,109
7,110
7,22
7,23
8,129
8,147
8,10
8,12
8,13
8,15
8,16
8,17
8,66
8,133
8,20
8,108
8,22
8,23
8,124
8,136
8,159
8,191
9,92
9,11
9,12
9,13
9,14
9,16
9,148
9,163
9,17
9,164
9,18
9,19
9,66
9,27
9,108
9,110
9,111
9,124
9,113
9,159
9,154
9,73
9,118
9,74
9,75
10,11
10,12
10,13
10,14
10,17
10,120
10,96
10,100
10,101
10,102
10,18
10,19
10,132
10,66
10,105
10,123
10,106
10,20
10,108
10,22
10,23
10,124
10,136
10,115
10,116
10,117
11,12
11,13
11,14
11,148
11,163
11,149
11,17
11,173
11,120
11,100
11,164
11,18
11,19
11,132
11,66
11,20
11,110
11,22
11,111
11,23
11,124
11,113
11,136
11,159
11,73
11,75
12,13
12,14
12,148
12,163
12,149
12,17
12,173
12,120
12,121
12,122
12,100
12,164
12,18
12,19
12,132
12,66
12,188
12,20
12,110
12,177
12,22
12,111
12,23
12,124
12,113
12,136
12,159
12,178
12,73
12,75
13,14
13,148
13,163
13,149
13,17
13,173
13,120
13,100
13,164
13,18
13,19
13,132
13,66
13,20
13,110
13,22
13,111
13,23
13,124
13,113
13,136
13,159
13,73
13,75
14,148
14,163
14,149
14,17
14,173
14,120
14,100
14,164
14,18
14,19
14,132
14,66
14,20
14,110
14,177
14,22
14,111
14,23
14,124
14,113
14,136
14,159
14,178
14,73
14,75
15,16
15,17
15,97
15,99
15,27
15,20
15,109
15,110
15,22
15,23
15,113
16,148
16,149
16,17
16,20
16,21
16,22
16,23
17,173
17,120
17,96
17,100
17,164
17,101
17,18
17,19
17,132
17,66
17,106
17,20
17,110
17,22
17,111
17,23
17,124
17,113
17,136
17,159
17,115
17,116
17,117
17,73
17,75
18,19
18,132
18,66
18,134
18,20
18,108
18,110
18,22
18,111
18,23
18,124
18,113
18,136
18,159
18,154
18,73
18,74
18,75
19,132
19,66
19,105
19,123
19,106
19,20
19,108
19,110
19,177
19,22
19,111
19,23
19,124
19,113
19,136
19,159
19,154
19,178
19,115
19,116
19,117
19,73
19,74
19,75
20,177
20,22
20,111
20,23
20,136
20,178
21,118
22,111
22,23
22,136
22,178
22,115
22,116
22,117
22,73
22,118
23,124
23,178
23,115
23,116
23,117
24,25
24,26
24,27
25,26
25,86
25,88
25,89
25,93
25,61
25,97
25,99
25,102
25,104
25,105
25,27
25,107
25,108
25,109
25,110
25,114
25,143
25,116
25,73
25,118
25,6
26,84
26,85
26,54
26,86
26,87
26,88
26,89
26,92
26,93
26,94
26,95
26,61
26,96
26,101
26,103
26,104
26,106
26,69
26,27
26,108
26,109
26,110
26,111
26,124
26,112
26,113
26,143
26,115
26,116
26,117
26,73
26,118
26,74
26,75
26,6
26,22
27,107
27,108
27,109
27,110
27,111
27,113
27,114
27,143
27,116
27,73
27,118
27,74
28,29
28,30
28,31
28,32
29,142
29,77
29,30
29,78
29,31
29,32
30,71
30,31
30,22
30,32
30,183
30,160
31,43
31,32
31,44
31,45
31,155
31,46
31,72
31,160
32,44
32,45
32,155
32,46
32,72
33,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,42
33,43
33,44
33,45
33,46
33,30
33,31
33,32
34,35
34,47
34,48
34,36
34,49
34,50
34,51
34,52
34,53
34,26
34,54
34,55
34,56
34,57
34,37
34,58
34,38
34,59
34,60
34,61
34,62
34,39
34,63
34,64
34,65
34,66
34,40
34,67
34,68
34,41
34,69
34,70
34,42
34,71
34,43
34,44
34,45
34,46
34,72
34,73
34,74
34,75
34,30
34,31
34,32
35,140
35,36
35,50
35,55
35,38
35,59
35,141
35,39
35,65
35,67
35,41
35,142
35,69
35,70
35,42
35,43
35,44
35,45
35,46
35,72
35,30
35,31
35,32
36,50
36,51
36,55
36,37
36,38
36,59
36,60
36,61
36,39
36,63
36,65
36,40
36,67
36,41
36,69
36,70
36,42
36,43
36,44
36,45
36,113
36,155
36,46
36,72
36,160
36,30
36,31
36,32
37,38
37,59
37,153
37,60
37,61
37,62
37,39
37,63
37,65
37,66
37,40
37,67
37,41
37,69
37,43
37,32
37,44
37,155
37,72
37,31
38,59
38,39
38,65
38,67
38,41
38,69
38,70
38,42
38,31
38,43
38,46
38,72
39,65
39,40
39,67
39,41
39,42
39,31
39,43
39,32
39,44
39,45
39,46
40,195
40,41
40,69
40,70
40,31
40,43
40,32
40,44
40,113
41,69
41,30
41,42
41,31
41,43
41,32
41,44
41,124
41,45
41,155
41,46
41,72
42,31
42,43
42,32
42,44
42,45
42,46
42,72
43,32
43,44
43,45
43,46
44,45
44,155
44,46
44,72
45,155
45,46
45,116
45,160
46,72
47,156
47,139
47,83
47,53
47,84
47,85
47,54
47,86
47,89
47,103
47,104
47,66
47,114
47,116
47,73
47,118
47,74
47,75
47,26
47,6
49,51
49,52
49,57
49,61
49,64
49,65
49,68
49,69
49,41
49,30
49,31
49,32
50,51
50,55
50,37
50,59
50,60
50,61
50,63
50,65
50,40
50,67
50,69
50,70
50,155
50,46
50,72
50,160
50,38
50,39
50,41
50,30
50,42
50,31
50,32
50,44
50,45
51,52
51,55
51,57
51,37
51,59
51,153
51,60
51,61
51,62
51,63
51,64
51,65
51,66
51,67
51,68
51,69
51,155
51,72
51,160
51,40
51,41
51,30
51,31
51,43
51,32
