# index, name, _pos
0,1,"array([ 5.4954927 , -7.38559978])"
1,8,"array([ 5.54046101, -7.1719437 ])"
2,24,"array([ 5.51767189, -7.34637979])"
3,35,"array([ 5.57162333, -7.32375881])"
4,42,"array([ 5.49922528, -7.43471466])"
5,46,"array([ 5.54478008, -7.37280555])"
6,60,"array([ 5.43015283, -7.23133417])"
7,74,"array([ 5.38673032, -7.42510269])"
8,78,"array([ 5.51135646, -7.30743342])"
9,81,"array([ 5.42888266, -7.30418691])"
10,95,"array([ 5.44376295, -7.26806904])"
11,98,"array([ 5.53531095, -7.24203766])"
12,99,"array([ 5.51410222, -7.19249224])"
13,100,"array([ 5.50802858, -7.24529736])"
14,101,"array([ 5.53819788, -7.2148115 ])"
15,103,"array([ 5.38310679, -7.38680198])"
16,104,"array([ 5.55986954, -7.4361101 ])"
17,108,"array([ 5.4883194 , -7.27362909])"
18,131,"array([ 5.47529131, -7.19181667])"
19,132,"array([ 5.46163184, -7.22011667])"
20,154,"array([ 5.58778059, -7.29784611])"
21,159,"array([ 5.45563915, -7.4684054 ])"
22,168,"array([ 5.49238105, -7.21899503])"
23,171,"array([ 5.46524204, -7.29730012])"
24,2,"array([ 5.01053625, -7.3240773 ])"
25,14,"array([ 5.16511296, -7.26384287])"
26,54,"array([ 5.24794312, -7.20762307])"
27,150,"array([ 5.23554268, -7.24368944])"
28,3,"array([ 5.22929515, -6.66328073])"
29,115,"array([ 5.2771923 , -6.59747142])"
30,153,"array([ 5.34489787, -6.91992437])"
31,167,"array([ 5.2292175 , -6.85895074])"
32,172,"array([ 5.21932124, -6.88806523])"
33,4,"array([ 5.22204688, -6.74765494])"
34,5,"array([ 5.21370275, -6.96567856])"
35,13,"array([ 5.30171297, -6.79917942])"
36,26,"array([ 5.25840763, -6.8369556 ])"
37,77,"array([ 5.2938807 , -6.85828179])"
38,85,"array([ 5.33384817, -6.78538997])"
39,102,"array([ 5.17582468, -6.77397019])"
40,138,"array([ 5.17401085, -6.8794745 ])"
41,147,"array([ 5.2094225, -6.9229646])"
42,156,"array([ 5.24613663, -6.78846838])"
43,169,"array([ 5.21518696, -6.80939489])"
44,173,"array([ 5.16895695, -6.82125668])"
45,176,"array([ 5.14188174, -6.89185234])"
46,189,"array([ 5.39762667, -6.93309849])"
47,19,"array([ 5.18395748, -7.14036765])"
48,21,"array([ 4.90940118, -6.84495788])"
49,27,"array([ 5.08946697, -6.94643571])"
50,28,"array([ 5.19794253, -6.84662604])"
51,29,"array([ 5.18370334, -6.94870105])"
52,51,"array([ 5.29747365, -6.95822543])"
53,53,"array([ 5.26674764, -7.17660499])"
54,57,"array([ 5.22927373, -7.15915844])"
55,73,"array([ 5.33001043, -6.97196157])"
56,75,"array([ 5.14202544, -6.97526811])"
57,76,"array([ 5.14894316, -7.04911207])"
58,79,"array([ 5.21034928, -7.02987379])"
59,86,"array([ 5.27465457, -6.92424584])"
60,90,"array([ 5.25003115, -6.9632043 ])"
61,96,"array([ 5.24349881, -7.03116027])"
62,97,"array([ 5.33527021, -6.88003859])"
63,124,"array([ 5.12585688, -6.83853893])"
64,126,"array([ 5.17065928, -7.00828103])"
65,128,"array([ 5.24193908, -6.92683431])"
66,136,"array([ 5.36478881, -7.11450266])"
67,140,"array([ 5.25918797, -6.88372197])"
68,144,"array([ 5.11618452, -7.0145501 ])"
69,149,"array([ 5.27468639, -6.98983061])"
70,155,"array([ 5.27945833, -6.76176087])"
71,163,"array([ 5.34485169, -6.84020485])"
72,191,"array([ 5.30262433, -6.89684508])"
73,194,"array([ 5.33265843, -7.1855133 ])"
74,196,"array([ 5.29099651, -7.16636836])"
75,197,"array([ 5.35752815, -7.16894391])"
76,6,"array([ 5.22842036, -6.20076894])"
77,152,"array([ 5.28965908, -6.33314557])"
78,157,"array([ 5.21109403, -6.3652543 ])"
