# index, name, group, _pos
0,Fine organic matter,Fine organic matter,"array([ 9.84800554, 10.53079274])"
1,Tabellaria,Chrysophyceae,"array([10.24942227, 10.33781662])"
2,Synura,Chrysophyceae,"array([10.47569978, 10.16271894])"
3,Synedra,Chrysophyceae,"array([10.42008264, 10.34436645])"
4,Mallomonas,Chrysophyceae,"array([10.20472116, 10.10517216])"
5,Dinobryon,Chrysophyceae,"array([9.67774337, 9.95706576])"
6,Asterionella,Chrysophyceae,"array([ 9.76812533, 10.01739011])"
7,Cryptomonas,Cryptophyta,"array([9.98759899, 9.84595478])"
8,Chroomonas,Cryptophyta,"array([ 9.81946977, 10.11682521])"
9,Trachelomonas,Euglenophyta,"array([ 9.98000477, 10.03959735])"
10,Phacus,Euglenophyta,"array([ 9.87798893, 10.01439758])"
11,Scenedesmus,Green algea,"array([ 9.64002706, 10.21636069])"
12,Elaktothrix,Green algea,"array([9.78811106, 9.89427693])"
13,Xanthidium,Green algea,"array([10.07540089, 10.11314742])"
14,Ankistrodesmus,Green algea,"array([ 9.86174813, 10.24397375])"
15,Tetraedron,Green algea,"array([10.30761238, 10.03839875])"
16,Staurastrum,Green algea,"array([ 9.75048478, 10.33518646])"
17,Spondylosium,Green algea,"array([9.89849938, 9.90250249])"
18,Schroederia,Green algea,"array([ 9.93408642, 10.14304666])"
19,Quadrigula,Green algea,"array([10.026805 ,  9.9479546])"
20,Pediastrum,Green algea,"array([10.2373034 ,  9.94164444])"
21,Oocystis,Green algea,"array([ 9.7459135 , 10.21462699])"
22,Euastrum,Green algea,"array([10.12237242,  9.87641888])"
23,Crucigenia,Green algea,"array([ 9.52684043, 10.27841506])"
24,Cosmarium,Green algea,"array([ 9.60201598, 10.04812049])"
25,Arthrodesmus,Green algea,"array([10.13332388, 10.00829693])"
26,Anabaena,Cyanobacteria,"array([ 9.69203594, 10.11201334])"
27,Aphanothece,Cyanobacteria,"array([ 9.5440065 , 10.14919324])"
28,Rhabdoderma,Cyanobacteria,"array([ 9.63023293, 10.34346452])"
29,Coelosphaerium,Cyanobacteria,"array([ 9.78649927, 10.9954441 ])"
30,Gomphosphaeria,Cyanobacteria,"array([ 9.53974399, 10.49369114])"
31,Aphanocapsa,Cyanobacteria,"array([ 9.81260657, 11.19401152])"
32,Merismopedia,Cyanobacteria,"array([ 9.45754181, 10.62680858])"
33,Gloeothece,Cyanobacteria,"array([ 9.97670431, 11.17917543])"
34,Chroococcus,Cyanobacteria,"array([ 9.39579692, 10.82968492])"
35,Zygnema,Filamentous algea,"array([ 9.9708621 , 11.11228957])"
36,Tribonema,Filamentous algea,"array([10.18418833, 11.01112975])"
37,Spirogyra,Filamentous algea,"array([ 9.31393709, 10.98290476])"
38,Sphaerozosma,Filamentous algea,"array([ 9.63046782, 10.8195471 ])"
39,Scytonema,Filamentous algea,"array([ 9.71223824, 10.55521539])"
40,Schizothrix,Filamentous algea,"array([ 9.85265651, 11.13404944])"
41,Rhizoclonium,Filamentous algea,"array([ 9.91232831, 11.17110141])"
42,Radiofilum,Filamentous algea,"array([ 9.93747841, 11.24243604])"
43,Plectonema,Filamentous algea,"array([ 9.53360952, 10.78664245])"
44,Phormidium,Filamentous algea,"array([ 9.68293713, 10.73100289])"
45,Oscillatoria,Filamentous algea,"array([ 9.78088256, 11.13711351])"
46,Oedogonium,Filamentous algea,"array([ 9.54039184, 10.98463616])"
47,Mougeotia,Filamentous algea,"array([ 9.58444769, 10.70178586])"
48,Microcoleus,Filamentous algea,"array([ 9.83733285, 11.0646417 ])"
49,Microchaete,Filamentous algea,"array([ 9.9077631 , 11.08979059])"
50,Lyngbya,Filamentous algea,"array([ 9.54371381, 10.88482002])"
51,Hyalotheca,Filamentous algea,"array([ 9.89476598, 11.02978496])"
52,Hapalosiphon,Filamentous algea,"array([ 9.76876639, 11.06577485])"
53,Groenbladia,Filamentous algea,"array([ 9.63449774, 10.62387492])"
54,Geminella,Filamentous algea,"array([ 9.75040321, 10.65098008])"
55,Desmidium,Filamentous algea,"array([ 9.84673534, 10.97816803])"
56,Bulbochaete,Filamentous algea,"array([ 9.87067692, 11.23330895])"
57,Binuclearia,Filamentous algea,"array([ 9.65312698, 10.91797478])"
58,Batrachospermum,Filamentous algea,"array([ 9.41843147, 10.52675728])"
59,Bambusina,Filamentous algea,"array([ 9.62451119, 11.03666328])"
60,Arthropoda Hydracarina,Arthropoda Hydracarina,"array([10.01907992, 10.48880635])"
61,Corvomyenia everetti,Corvomyenia everetti,"array([ 9.37670519, 10.70297133])"
62,Ephydatia muelleri,Porifera,"array([ 9.97459235, 10.58789794])"
63,Spongilla lacustris,Porifera,"array([10.56196657, 10.84452918])"
64,Amphipoda Crangonyx gracilis,Amphipoda Crangonyx gracilis,"array([10.34284136, 10.8003404 ])"
65,Turbellaria Tricladida,Turbellaria Tricladida,"array([10.44198794, 10.75768788])"
66,Annelida Hirudinea,Annelida Hirudinea,"array([10.49489099, 10.90633657])"
67,Annelida Oligochaete,Annelida Oligochaete,"array([10.48180715, 10.80862953])"
68,Sphaeriidae,Mollusca,"array([10.26912139, 10.8169194 ])"
69,Campeloma decisum,Mollusca,"array([10.39619076, 10.81798451])"
70,Bivalvia,Mollusca,"array([10.13791691, 10.74792965])"
71,Xenochironomus,Diptera,"array([10.07293959, 10.74425367])"
72,Stictochironomus,Diptera,"array([10.44248386, 11.0956473 ])"
73,Stenochironomus,Diptera,"array([10.40538091, 10.8736955 ])"
74,Pseudochironomus,Diptera,"array([10.36157156, 10.88517831])"
75,Polypedilum,Diptera,"array([10.32798137, 10.8584109 ])"
76,Paratendipes,Diptera,"array([10.1737759 , 10.89512888])"
77,Parachironomus,Diptera,"array([ 9.81884559, 10.83062857])"
78,Microtendipes,Diptera,"array([ 9.91647497, 10.7706351 ])"
79,Glyptotendipes,Diptera,"array([ 9.97081163, 10.78522827])"
80,Endochironomus,Diptera,"array([10.18268766, 10.81502867])"
81,Cryptochironomus,Diptera,"array([10.11760907, 10.8156853 ])"
82,Cladopelma,Diptera,"array([10.04383835, 11.00716058])"
83,Chironomus,Diptera,"array([10.05715076, 10.84800515])"
84,Tanytarsus,Diptera,"array([10.05663523, 10.65890859])"
85,Paratanytarsus,Diptera,"array([ 9.94766096, 10.97631032])"
86,Micropsectra,Diptera,"array([10.29320557, 11.17044699])"
87,Nanocladius,Diptera,"array([10.29156477, 11.05499027])"
88,Cricotopus,Diptera,"array([ 9.98020221, 11.03143792])"
89,Corynoneura,Diptera,"array([ 9.94119381, 10.904959  ])"
90,Chaetocladius,Diptera,"array([ 9.88140617, 10.89831395])"
91,Procladius,Diptera,"array([ 9.96634406, 10.858186  ])"
92,Macropelopis,Diptera,"array([ 9.89488781, 10.84449183])"
93,Larsia,Diptera,"array([10.05602106, 11.23063995])"
94,Guttipelopia,Diptera,"array([10.01786422, 11.29027441])"
95,Djalmabatista,Diptera,"array([10.19256077, 11.1603126 ])"
96,Clinotanypus,Diptera,"array([10.12199558, 11.1826544 ])"
97,Albabesmyia,Diptera,"array([10.05721058, 11.15904928])"
98,Chaoborus punctipennis,Diptera,"array([10.2008019 , 11.23823689])"
99,Chaoborus albatus,Diptera,"array([10.09427201, 11.30319291])"
100,Sphaeromais,Diptera,"array([10.13174031, 11.2566626 ])"
101,Bezzia,Diptera,"array([10.17282586, 11.0799724 ])"
102,Lepidoptera Pyralidae eoparagyractis,Lepidoptera Pyralidae eoparagyractis,"array([10.10787683, 11.03798481])"
103,Magaloptera Sialis,Magaloptera Sialis,"array([10.07012093, 10.93164054])"
104,Hemiptera Notonectids,Hemiptera Notonectids,"array([10.10457953, 11.10412815])"
105,Hemiptera Veliidae,Hemiptera Veliidae,"array([10.00767484, 10.94092673])"
106,Gyrinus,Coleoptera,"array([10.04424543, 11.0769266 ])"
107,Neuroptera Climacia,Neuroptera Climacia,"array([10.11061615, 10.97721269])"
108,Enallagma,Odonata,"array([10.27693509, 10.59454575])"
109,Sympetrum,Odonata,"array([10.12425596, 10.5586854 ])"
110,Libellula,Odonata,"array([10.19096111, 10.48712171])"
111,Anisoptera epitheca,Odonata,"array([10.19634383, 10.56473395])"
112,Polycentropus,Trichoptera,"array([10.25306042, 10.8838877 ])"
113,Molanna,Trichoptera,"array([10.38560532, 10.43914878])"
114,Banksiola,Trichoptera,"array([10.29480571, 10.433949  ])"
115,Agrypnia,Trichoptera,"array([10.35631977, 10.95770165])"
116,Limnephilus,Trichoptera,"array([10.50456132, 10.56357524])"
117,Mystacides,Trichoptera,"array([10.49377302, 10.67447453])"
118,Oecetis,Trichoptera,"array([10.53752216, 10.61024079])"
119,Caenis,Ephemeroptera,"array([10.47060342, 10.62416318])"
120,Leptophlebia,Ephemeroptera,"array([10.53723964, 10.51273965])"
121,Hydroporus,Coleoptera,"array([10.5630359 , 10.77811226])"
122,Hemiptera Gerris,Hemiptera Gerris,"array([10.61894379, 10.78781766])"
123,Harpacticoid copepodids,Bhentic copepods,"array([10.5374268, 10.7250147])"
124,Harpacticoid copepods,Bhentic copepods,"array([10.60274871, 10.72027724])"
125,Microcyclops rubellus,Bhentic copepods,"array([10.61527383, 10.62565461])"
126,Acanthocyclops,Bhentic copepods,"array([10.65838823, 10.73850799])"
127,Eucyclops serrulatus,Bhentic copepods,"array([10.64804518, 10.68146058])"
128,Macrocyclops albidus,Bhentic copepods,"array([10.43300102, 10.68198647])"
129,Sida crystallina,Bhentic cladocera,"array([10.41871845, 10.58217551])"
130,Scapholeberis kingi,Bhentic cladocera,"array([10.44132046, 10.52013219])"
131,Ophryoxus gracilis,Bhentic cladocera,"array([10.29879959, 10.66835034])"
132,Acantholeberis curvirostris,Bhentic cladocera,"array([10.33296319, 10.54071002])"
133,Chydorus sp2,Bhentic cladocera,"array([10.33798591, 10.59998712])"
134,Chydorus spl,Bhentic cladocera,"array([10.34583815, 10.7251122 ])"
135,Disparalona acutirostris,Bhentic cladocera,"array([10.26897158, 10.72990836])"
136,Alonella excisa,Bhentic cladocera,"array([10.36334669, 10.65664105])"
137,Alona intermedia,Bhentic cladocera,"array([10.47769843, 10.43274183])"
138,Alona rustica,Bhentic cladocera,"array([10.54996997, 10.40876848])"
139,Alona quadrangularis,Bhentic cladocera,"array([10.24720492, 10.65191699])"
140,Alona affinis,Bhentic cladocera,"array([10.15134688, 10.63068249])"
141,Cyclopoid copepodids,Juvenile pelagic zooplankton,"array([10.19083563, 10.69565375])"
142,Calanoid copepodids,Juvenile pelagic zooplankton,"array([10.25293153, 10.51677071])"
143,Nauplii,Juvenile pelagic zooplankton,"array([10.07700675, 10.38079921])"
144,Synchaeta,Pelagic rotifers,"array([10.49114368, 11.00318576])"
145,Gastropus,Pelagic rotifers,"array([10.6760116, 11.3154056])"
146,Asplanchna,Pelagic rotifers,"array([10.48191429, 11.32473938])"
147,Trichocerca cylindrica,Pelagic rotifers,"array([10.57175867, 10.66550232])"
148,Polyarthra vulgaris,Pelagic rotifers,"array([10.01367899, 10.29833367])"
149,Polyarthra remata,Pelagic rotifers,"array([10.57237596, 11.04869292])"
150,Keratella hiemalis,Pelagic rotifers,"array([10.93113848, 10.93389749])"
151,Keratella crassa,Pelagic rotifers,"array([10.81121846, 10.64146547])"
152,Keratella taurocephala,Pelagic rotifers,"array([10.74057207, 10.67783257])"
153,Keratella cochlearis,Pelagic rotifers,"array([10.54551603, 11.13946342])"
154,Kellicottia bostoniensis,Pelagic rotifers,"array([10.87964752, 11.06796085])"
155,Kellicottia longispina,Pelagic rotifers,"array([10.69877348, 10.62842262])"
156,Conochiloides,Pelagic rotifers,"array([10.83801764, 10.55825445])"
157,Conochilus unicornis,Pelagic rotifers,"array([10.76737232, 10.96739338])"
158,Polyphemus pediculus,Pelagic cladocera,"array([10.73120794, 10.74872908])"
159,Leptodora kindtii,Pelagic cladocera,"array([10.59497669, 10.93332907])"
160,Holopedium gibberum,Pelagic cladocera,"array([10.69234179, 10.83312397])"
161,Diaphanosoma birgei,Pelagic cladocera,"array([10.67797109, 10.55384372])"
162,Daphnia parvula,Pelagic cladocera,"array([10.60659314, 10.54358703])"
163,Daphnia galeata mendotae,Pelagic cladocera,"array([10.69413498, 10.91878409])"
164,Eubosmina,Pelagic cladocera,"array([10.6944079 , 10.43609685])"
165,Bosmina longirostris,Pelagic cladocera,"array([10.72921179, 11.04433386])"
166,Epischura lacustris,Pelagic copepods,"array([10.82494539, 10.77044507])"
167,Tropocyclops prasinus,Pelagic copepods,"array([10.73865531, 10.51393627])"
168,Mesocyclops edax,Pelagic copepods,"array([10.83304556, 10.7042275 ])"
169,Diacyclops thomasi,Pelagic copepods,"array([10.76388682, 10.810461  ])"
170,Diaptomus minutus,Pelagic copepods,"array([10.63215752, 10.47122949])"
171,Fish eggs,Fish eggs,"array([10.76170362, 10.87942788])"
172,Shiner (Notemigonus crysoleucus),Minnows,"array([10.75848251, 10.58665782])"
173,Mudminnow (Umbra),Minnows,"array([10.65719418, 11.01934693])"
174,"Black crappie (Pomoxis nigromaculatus), adult",Adult fishes,"array([10.84374849, 10.84656275])"
175,"Black crappie (Pomoxis nigromaculatus), young",Young of year fishes,"array([10.46938916, 11.21491493])"
176,"Rock bass (Ambloptes rupestris), adult",Adult fishes,"array([10.64379766, 11.16936722])"
177,"Rock bass (Ambloptes rupestris), young",Young of year fishes,"array([10.63237303, 10.8835177 ])"
178,"Largemouth bass (Micropterus salsmoides), adult",Adult fishes,"array([10.09246924, 10.28782713])"
179,"Largemouth bass (Micropterus salsmoides), young",Young of year fishes,"array([11.10785308, 11.18283371])"
180,"Yellow perch (Perca flaverscens), adult",Adult fishes,"array([11.1898355 , 11.03507578])"
181,"Yellow perch (Perca flaverscens), young",Young of year fishes,"array([11.2067929 , 10.86611678])"
182,?,?,"array([11.04039532, 11.40891012])"
