# index, name, _pos
0,24-HOUR MAN/EMMANUEL,"array([-3.37927439, 36.77731148])"
1,3-D MAN/CHARLES CHAN,"array([-12.2896451 ,  33.99193728])"
2,4-D MAN/MERCURIO,"array([-12.91031964,  30.95762457])"
3,8-BALL/,"array([-14.89065469,  19.77209427])"
4,A,"array([-19.08768779,  24.140166  ])"
5,A'YIN,"array([-18.70167019,  27.86192642])"
6,"ABBOTT, JACK","array([-5.5033794 , 22.42001507])"
7,ABCISSA,"array([-16.29350716,  23.83151839])"
8,ABEL,"array([-20.67786094,  26.03579232])"
9,ABOMINATION/EMIL BLO,"array([-12.56115683,  30.94266707])"
10,ABOMINATION | MUTANT,"array([-24.00715389,  21.85009115])"
11,ABOMINATRIX,"array([-16.6791742 ,  32.01913894])"
12,ABRAXAS,"array([-9.71200851, 32.98816021])"
13,"ADAM 3,031","array([-6.10894755, 32.90655259])"
14,ABSALOM,"array([-18.65161735,  25.20285591])"
15,ABSORBING MAN/CARL C,"array([-12.52256483,  29.24163557])"
16,ABSORBING MAN | MUTA,"array([-24.45656265,  22.80478263])"
17,ACBA,"array([-13.81383998,  34.24349045])"
18,"ACHEBE, REVEREND DOC","array([-9.91533053, 28.07340559])"
19,ACHILLES,"array([-14.89821919,  38.42144868])"
20,ACHILLES II/HELMUT,"array([-10.85388931,  31.6872918 ])"
21,ACROBAT/CARL ZANTE,"array([-16.13396341,  31.13586462])"
22,ADAM X,"array([-16.32513211,  29.45559458])"
23,"ADAMS, CINDY","array([-15.57957983,  30.45264209])"
24,"ADAMS, CONGRESSMAN H","array([-10.356643  ,  19.31471549])"
25,"ADAMS, GEORGE","array([-17.47557843,  32.60539564])"
26,"ADAMS, MARTHA","array([-17.31797512,  32.64407935])"
27,"ADAMS, NICOLE NIKKI","array([-9.00400908, 28.78990235])"
28,"ADAMSON, JASON","array([-0.3725295 , 31.28610381])"
29,"ADAMSON, REBECCA","array([-0.27757016, 30.9269133 ])"
